customer_id,age,gender,membership_level,registration_date,total_orders,total_spent,avg_order_value,last_purchase_date,avg_purchase_interval,product_categories,browse_frequency,city,device_type
C001,28,男,金卡,2023-06-15,15,28500,1900,2024-03-15,8,3,12,北京,移动端
C002,35,女,银卡,2023-08-22,8,12800,1600,2024-03-10,15,2,8,上海,PC端
C003,42,男,普通,2023-10-08,5,6500,1300,2024-02-28,22,1,3,广州,移动端
C004,25,女,钻石,2023-04-10,28,85000,3035,2024-03-18,4,5,25,深圳,移动端
C005,31,男,金卡,2023-07-15,12,22000,1833,2024-03-12,10,3,15,杭州,PC端
C006,45,女,银卡,2023-09-30,6,8900,1483,2024-02-20,25,2,5,成都,移动端
C007,29,男,普通,2023-11-12,3,4200,1400,2024-01-15,40,1,2,武汉,PC端
C008,33,女,金卡,2023-05-20,18,35000,1944,2024-03-16,6,4,18,南京,移动端
C009,38,男,银卡,2023-08-08,10,15500,1550,2024-03-08,12,2,10,西安,PC端
C010,26,女,钻石,2023-03-15,35,120000,3428,2024-03-19,3,6,30,重庆,移动端
C011,41,男,金卡,2023-06-28,14,26800,1914,2024-03-14,8,3,14,天津,PC端
C012,30,女,银卡,2023-09-15,7,11200,1600,2024-02-25,20,2,6,苏州,移动端
C013,27,男,普通,2023-12-01,4,5800,1450,2024-02-10,35,1,4,长沙,PC端
C014,36,女,金卡,2023-07-05,16,31000,1937,2024-03-17,7,4,16,青岛,移动端
C015,43,男,银卡,2023-10-25,9,14200,1577,2024-03-05,14,2,9,大连,PC端
C016,24,女,钻石,2023-02-20,42,150000,3571,2024-03-20,2,7,35,厦门,移动端
C017,32,男,金卡,2023-05-08,13,24500,1884,2024-03-11,9,3,13,福州,移动端
C018,39,女,银卡,2023-08-18,8,13500,1687,2024-02-22,22,2,7,南宁,PC端
C019,23,男,普通,2023-12-20,2,2800,1400,2024-01-05,50,1,1,贵阳,移动端
C020,34,女,金卡,2023-06-01,17,32000,1882,2024-03-13,8,4,17,昆明,PC端
C021,40,男,银卡,2023-09-05,11,17500,1590,2024-03-06,13,2,11,南昌,移动端
C022,28,女,钻石,2023-01-15,48,180000,3750,2024-03-20,1,8,40,合肥,移动端
C023,37,男,金卡,2023-07-28,15,27500,1833,2024-03-15,8,3,15,石家庄,PC端
C024,44,女,银卡,2023-10-15,6,9800,1633,2024-02-15,28,2,5,太原,移动端
C025,26,男,普通,2023-11-30,3,4500,1500,2024-01-20,45,1,2,兰州,PC端
C026,31,女,金卡,2023-04-28,19,36000,1894,2024-03-18,6,4,19,沈阳,移动端
C027,38,男,银卡,2023-08-30,10,16200,1620,2024-03-07,13,2,10,长春,PC端
C028,29,女,钻石,2023-03-25,38,135000,3552,2024-03-19,3,6,32,哈尔滨,移动端
C029,42,男,金卡,2023-06-18,14,25800,1842,2024-03-12,9,3,14,济南,移动端
C030,33,女,银卡,2023-09-22,7,10500,1500,2024-02-28,20,2,6,郑州,PC端
