order_id,product_name,price,quantity,order_date,customer_id,city,category
ORD001,iPhone 15,7999,2,2024-01-01,C001,北京,电子
ORD001,AirPods Pro,1899,1,2024-01-01,C001,北京,电子
ORD002,MacBook Air,9999,1,2024-01-02,C002,上海,电子
ORD003,AirPods Pro,1899,3,2024-01-03,C003,广州,电子
ORD004,Nike Air Max,899,5,2024-01-04,,深圳,服装
ORD005,Adidas Superstar,799,0,2024-01-05,C005,杭州,服装
ORD006,iPhone 15,7999,1,2024-01-06,C006,成都,电子
ORD007,MacBook Pro,14999,2,2024-01-07,C007,武汉,电子
ORD008,AirPods Max,4399,1,2024-01-08,C008,南京,电子
ORD009,Nike Dunk Low,699,6,2024-01-09,C009,西安,服装
ORD010,Adidas Ultraboost,1099,3,2024-01-10,C010,重庆,服装
ORD011,iPhone 15 Pro,9999,2,2024-01-11,C011,天津,电子
ORD012,MacBook Air,9999,1,,苏州,电子
ORD013,AirPods Pro,1899,2,2024-01-13,C013,长沙,电子
ORD014,Nike Air Force 1,749,4,2024-01-14,C014,青岛,服装
ORD015,Adidas NMD,949,5,2024-01-15,C015,大连,服装
ORD016,iPhone 15,7999,3,2024-01-16,C016,厦门,电子
ORD017,MacBook Pro,14999,1,2024-01-17,C017,福州,电子
ORD018,AirPods Max,4399,2,2024-01-18,C018,南宁,电子
ORD019,Nike ZoomX,1199,3,2024-01-19,C019,贵阳,服装
ORD020,Adidas Yeezy,1699,2,2024-01-20,C020,昆明,服装
ORD021,iPhone 15 Pro,9999,1,2024-01-21,C021,南昌,电子
ORD022,MacBook Air,9999,3,2024-01-22,C022,合肥,电子
ORD023,AirPods Pro,1899,4,2024-01-23,C023,石家庄,电子
ORD024,Nike React,849,5,2024-01-24,C024,太原,服装
ORD025,Adidas Continental,649,6,2024-01-25,C025,兰州,服装
ORD026,iPhone 15,7999,2,2024-01-26,C026,沈阳,电子
ORD027,MacBook Pro,14999,1,2024-01-27,C027,长春,电子
ORD028,AirPods Max,4399,1,2024-01-28,C028,哈尔滨,电子
ORD029,Nike Air Jordan,1299,3,2024-01-29,C029,济南,服装
ORD030,Adidas Nite Jogger,1149,2,2024-01-30,C030,郑州,服装
ORD031,iPhone 15,7999,1,2024-01-31,C031,北京,电子
ORD032,MacBook Air,9999,2,2024-02-01,C032,上海,电子
ORD033,AirPods Pro,1899,3,2024-02-02,C033,广州市,电子
ORD034,Nike Air Max,899,4,2024-02-03,C034,深圳,服装
ORD035,Adidas Superstar,799,5,2024-02-04,C035,杭州,服装
ORD036,iPhone 15 Pro,9999,1,2024-02-05,C036,成都,电子
ORD037,MacBook Pro,14999,2,2024-02-06,C037,武汉,电子
ORD038,AirPods Max,4399,1,2024-02-07,C038,南京市,电子
ORD039,Nike Dunk Low,699,3,2024-02-08,C039,西安,服装
ORD040,Adidas Ultraboost,1099,2,2024-02-09,C040,重庆,服装
ORD041,iPhone 15,-100,2,2024-02-10,C041,天津,电子
ORD042,MacBook Air,9999,1,2024-02-11,C042,苏州,电子
ORD043,AirPods Pro,1899,,2024-02-12,C043,长沙,电子
