date,sales,orders,customers,region
2024-01-01,15620,45,32,华北
2024-01-02,18230,52,38,华东
2024-01-03,14580,42,28,华南
2024-01-04,16890,48,35,华北
2024-01-05,19450,55,42,华东
2024-01-06,22340,62,48,华南
2024-01-07,25680,70,55,华北
2024-01-08,13240,38,26,华东
2024-01-09,14890,43,30,华南
2024-01-10,17230,49,36,华北
2024-01-11,18950,54,40,华东
2024-01-12,21340,60,46,华南
2024-01-13,23890,66,52,华北
2024-01-14,26540,73,58,华东
2024-01-15,16230,46,34,华南
2024-01-16,18560,53,39,华北
2024-01-17,20120,57,43,华东
2024-01-18,22890,64,50,华南
2024-01-19,25120,71,56,华北
2024-01-20,27650,78,62,华东
2024-01-21,14890,42,29,华南
2024-01-22,16540,47,33,华北
2024-01-23,19230,54,41,华东
2024-01-24,21560,61,47,华南
2024-01-25,24120,68,53,华北
2024-01-26,26780,75,59,华东
2024-01-27,29340,82,65,华南
2024-01-28,15680,44,31,华北
2024-01-29,18230,52,38,华东
2024-01-30,20650,58,44,华南
2024-01-31,23120,65,50,华北
2024-02-01,25780,72,56,华东
2024-02-02,28450,79,62,华南
2024-02-03,16230,46,34,华北
2024-02-04,18890,53,40,华东
2024-02-05,21340,60,46,华南
2024-02-06,23890,67,52,华北
2024-02-07,26540,74,58,华东
2024-02-08,29120,81,64,华南
2024-02-09,14560,41,28,华北
2024-02-10,17120,49,35,华东
2024-02-11,19650,56,41,华南
2024-02-12,22230,63,47,华北
2024-02-13,24890,70,53,华东
2024-02-14,35680,95,72,华南
2024-02-15,32450,88,66,华北
2024-02-16,28900,79,60,华东
2024-02-17,25340,70,54,华南
2024-02-18,22120,62,48,华北
2024-02-19,19560,55,42,华东
2024-02-20,17230,49,36,华南
2024-02-21,15120,43,31,华北
2024-02-22,18230,52,38,华东
2024-02-23,20780,59,44,华南
2024-02-24,23340,66,50,华北
2024-02-25,25900,73,56,华东
2024-02-26,28450,80,62,华南
2024-02-27,31120,87,68,华北
2024-02-28,16890,48,34,华东
