user_id,login_count,purchase_amount,visit_duration,last_login,age,gender,membership_level
101,5,1000,30,2024-01-01,25,男,银卡
102,10,2500,45,2024-01-02,30,女,金卡
103,3,500,20,2024-01-03,22,男,普通
104,15,3000,60,2024-01-04,35,女,钻石
105,8,1500,35,2024-01-05,28,男,银卡
106,12,2000,50,2024-01-06,40,女,金卡
107,2,300,15,2024-01-07,21,男,普通
108,20,4000,70,2024-01-08,45,女,钻石
109,6,1200,25,2024-01-09,26,男,银卡
110,18,3500,65,2024-01-10,32,女,金卡
111,7,1600,32,2024-01-11,29,男,银卡
112,14,2800,55,2024-01-12,38,女,金卡
113,4,800,18,2024-01-13,23,男,普通
114,16,3200,58,2024-01-14,42,女,钻石
115,9,1700,38,2024-01-15,31,男,银卡
116,11,2100,48,2024-01-16,33,女,金卡
117,1,150,10,2024-01-17,20,男,普通
118,17,3400,62,2024-01-18,36,女,钻石
119,5,1300,28,2024-01-19,27,男,银卡
120,19,3800,68,2024-01-20,39,女,金卡
121,3,600,16,2024-01-21,24,男,普通
122,13,2600,52,2024-01-22,37,女,金卡
123,8,1400,33,2024-01-23,30,男,银卡
124,2,400,12,2024-01-24,22,男,普通
125,15,3100,60,2024-01-25,41,女,钻石
126,6,1100,27,2024-01-26,25,男,银卡
127,14,2700,54,2024-01-27,34,女,金卡
128,4,700,17,2024-01-28,21,男,普通
129,18,3600,66,2024-01-29,43,女,钻石
130,7,1600,34,2024-01-30,29,男,银卡
